iso3,scenario,group,totalnets,pyp,pyplb,pypub,maxpyp,bestlabel,wrap_lbl,iso_a2,lifespan,bestq,target,country
AGO,107,1,165539165.75,358730764.5771038,322957691.18363714,404653585.5588731,358730764.5771038,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",AO,1.1,1,70,Angola
AGO,226,2,214269197.5,464954129.40286565,419142879.10117286,520660272.191911,627742190.0427556,"Annual CD 
at pop x 26%",Annual CD at pop x 26%,AO,1.1,1,70,Angola
AGO,325,3,256787991.625,502534608.6665165,468783857.4129474,545390151.984583,565377803.4131448,"CD between campaigns 
at pop x 25%","CD between campaigns at
pop x 25%",AO,1.1,1,70,Angola
AGO,401,4,2172082833.875,605270806.7345719,126293001.15899163,8402194.640389234,605270806.7345719,"Mass campaign (pop/0.1) 
every 3 years","Mass campaign (pop/0.1)
every 3 years",AO,1.1,1,70,Angola
AGO,513,5,295564317.75,566921850.616576,527092874.05097955,617973238.7601571,673018474,"Mass campaign (pop/1.3) 
every 2 years","Mass campaign (pop/1.3)
every 2 years",AO,1.1,1,70,Angola
AGO,607,6,231410279,486296561.46768075,448211339.4340641,536205458.53740793,486296561.46768075,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",AO,1.1,1,70,Angola
BDI,107,1,58622744.625,139819937.10473177,123535842.0189285,156112561.41064352,139819937.10473177,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",BI,1.31,1,70,Burundi
BDI,223,2,69557312.5,168041771.69598994,148620139.04726297,186418690.60750628,231946749.97968248,"Annual CD 
at pop x 23%",Annual CD at pop x 23%,BI,1.31,1,70,Burundi
BDI,319,3,82530753.125,179678810.12766203,163370442.1433136,193566937.17009652,211332874.48542607,"CD between campaigns 
at pop x 19%","CD between campaigns at
pop x 19%",BI,1.31,1,70,Burundi
BDI,404,4,202955009.125,200590589.8511137,31059128.67678615,58003051.92327048,218285232.4704038,"Mass campaign (pop/0.4) 
every 3 years","Mass campaign (pop/0.4)
every 3 years",BI,1.31,1,70,Burundi
BDI,516,5,87954479.3125,195303171.34552544,176273232.41908896,211542309.47554028,238617045,"Mass campaign (pop/1.6) 
every 2 years","Mass campaign (pop/1.6)
every 2 years",BI,1.31,1,70,Burundi
BDI,607,6,82158710.9375,186813131.7189935,169477262.9550538,204677474.24187922,186813131.7189935,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",BI,1.31,1,70,Burundi
BEN,107,1,60781109.9375,127202130.14394864,116023646.57770514,139874099.2172728,127202130.14394864,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",BJ,1.07,1,70,Benin
BEN,228,2,83193638.1875,170008080.76157728,158856717.05820975,186844446.45377067,243862461.64472458,"Annual CD 
at pop x 28%",Annual CD at pop x 28%,BJ,1.07,1,70,Benin
BEN,327,3,97051859.0625,187818370.73295775,175655855.08917978,201722992.8136871,215391556.63355526,"CD between campaigns 
at pop x 27%","CD between campaigns at
pop x 27%",BJ,1.07,1,70,Benin
BEN,401,4,797210098,219471791.43016523,46491648.88890775,2988192.8717331216,219471791.43016523,"Mass campaign (pop/0.1) 
every 3 years","Mass campaign (pop/0.1)
every 3 years",BJ,1.07,1,70,Benin
BEN,512,5,116624933.8125,225289002.88304794,208457265.4170925,112434998.75700606,263861627.39689964,"Mass campaign (pop/1.2) 
every 2 years","Mass campaign (pop/1.2)
every 2 years",BJ,1.07,1,70,Benin
BEN,607,6,85171204.125,175286862.25713566,161908569.40128288,191301286.89758548,175286862.25713566,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",BJ,1.07,1,70,Benin
