iso3,lifespan,scenario_2,scenario_3,scenario_4,scenario_5,target,country
AGO,1.1,26,25,0.1,1.3,70,Angola
BDI,1.3,23,19,0.4,1.6,70,Burundi
BEN,1.1,28,27,0.1,1.2,70,Benin
BFA,1.6,16,9,0.9,2,70,Burkina Faso
CAF,1.9,17,9,1.1,2,70,Central African Republic
CIV,1.7,18,11,0.9,2,70,Côte d’Ivoire
CMR,3.5,8,0,2,2,70,Cameroon
COD,1.4,22,18,0.5,1.7,70,Congo - Kinshasa
COG,2.9,10,0,2,2,70,Congo - Brazzaville
COM,2.1,15,6,1.3,2,70,Comoros
DJI,1,28,27,0.1,1.1,70,Djibouti
ERI,3,7,0,2,2,70,Eritrea
ETH,1.3,23,20,0.4,1.5,70,Ethiopia
GAB,3.3,10,0,2,2,70,Gabon
GHA,1.8,19,13,0.8,2,70,Ghana
GIN,1.5,16,11,0.8,2,70,Guinea
GMB,1.6,15,8,1,2,70,Gambia
GNB,1.4,18,13,0.6,2,70,Guinea-Bissau
GNQ,3.6,8,0,2,2,70,Equatorial Guinea
KEN,2.3,15,6,1.3,2,70,Kenya
LBR,1,29,28,0.1,1.1,70,Liberia
MDG,1.6,18,12,0.8,2,70,Madagascar
MLI,2.8,8,0,2,2,70,Mali
MOZ,1.3,22,18,0.4,1.6,70,Mozambique
MRT,1.1,22,21,0.1,1.5,70,Mauritania
MWI,1.3,22,19,0.4,1.6,70,Malawi
NER,3.5,6,0,2,2,70,Niger
NGA,2.2,14,4,1.4,2,70,Nigeria
RWA,1.6,19,13,0.7,2,70,Rwanda
SDN,2.9,10,0,2,2,70,Sudan
SEN,1.4,18,14,0.5,2,70,Senegal
SLE,1.5,21,17,0.6,1.7,70,Sierra Leone
SOM,2.4,10,0,2,2,70,Somalia
SSD,1,29,28,0.1,1.1,70,South Sudan
TCD,1,29,28,0.1,1.1,70,Chad
TGO,2.4,12,1,1.7,2,70,Togo
TZA,2.1,14,4,1.4,2,70,Tanzania
UGA,1.7,18,12,0.8,2,70,Uganda
ZMB,1.3,26,23,0.3,1.4,70,Zambia
ZWE,2.8,10,0,2,2,70,Zimbabwe
AGO,1.1,33,32,0.1,1,80,Angola
BDI,1.3,29,26,0.3,1.2,80,Burundi
BEN,1.1,35,34,0.1,0.9,80,Benin
BFA,1.6,20,15,0.7,1.9,80,Burkina Faso
CAF,1.9,21,15,0.8,1.8,80,Central African Republic
CIV,1.7,23,18,0.7,1.6,80,Côte d’Ivoire
CMR,3.5,11,0,1.7,2,80,Cameroon
COD,1.4,28,24,0.4,1.3,80,Congo - Kinshasa
COG,2.9,13,4,1.5,2,80,Congo - Brazzaville
COM,2.1,19,10,1,2,80,Comoros
DJI,1,35,35,0.1,0.9,80,Djibouti
ERI,3,10,0,2,2,80,Eritrea
ETH,1.3,29,27,0.3,1.2,80,Ethiopia
GAB,3.3,13,0,1.5,2,80,Gabon
GHA,1.8,25,20,0.6,1.6,80,Ghana
GIN,1.5,21,16,0.6,1.8,80,Guinea
